,app_name,price,rating_count,rating,category
0,PAC-MAN Premium,3.99,21292,4.0,Games
1,Evernote - stay organized,0.0,161065,4.0,Productivity
2,"WeatherBug - Local Weather, Radar, Maps, Alerts",0.0,188583,3.5,Weather
3,"eBay: Best App to Buy, Sell, Save! Online Shopping",0.0,262241,4.0,Shopping
4,Bible,0.0,985920,4.5,Books & Reference
5,Shanghai Mahjong,0.99,8253,4.0,Games
6,PayPal - Send and request money safely,0.0,119487,4.0,Finance
7,Pandora - Music & Radio,0.0,1126879,4.0,Entertainment
8,PCalc - The Best Calculator,9.99,1117,4.5,Utilities
9,Ms. PAC-MAN,3.99,7885,4.0,Games
10,Solitaire by MobilityWare,4.99,76720,4.5,Games
11,SCRABBLE Premium,7.99,105776,3.5,Games
12,Google – Search made just for mobile,0.0,479440,3.5,Utilities
13,Bank of America - Mobile Banking,0.0,119773,3.5,Finance
14,FreeCell,4.99,6340,4.5,Games
15,TripAdvisor Hotels Flights Restaurants,0.0,56194,4.0,Travel
16,Facebook,0.0,2974676,3.5,Social Networking
17,"Yelp - Nearby Restaurants, Shopping & Services",0.0,223885,4.0,Travel
18,"Shazam - Discover music, artists, videos & lyrics",0.0,402925,4.0,Entertainment
19,Crash Bandicoot Nitro Kart 3D,2.99,31456,4.0,Games
20,iQuran,1.99,2929,4.5,Books & Reference
21,:) Sudoku +,2.99,11447,5.0,Games
22,"Yahoo Sports - Teams, Scores, News & Highlights",0.0,137951,4.0,Sports
23,Mileage Log | Fahrtenbuch,5.99,8,4.5,Business
24,Cleartune - Chromatic Tuner,3.99,3241,4.0,Entertainment
25,Lifesum – Inspiring healthy lifestyle app,0.0,5795,3.5,Health & Fitness
26,Hangman.,0.0,42316,3.0,Games
27,iTranslate - Language Translator & Dictionary,0.0,123215,3.5,Productivity
28,TouchOSC,4.99,782,4.0,Entertainment
29,RadarScope,9.99,3449,4.0,Weather
30,LinkedIn,0.0,71856,3.5,Social Networking
31,Period Tracker Deluxe,1.99,13350,4.5,Health & Fitness
32,Election 2016 Map,0.99,137,3.0,Entertainment
33,Blackjack by MobilityWare,0.0,180087,3.5,Games
34,White Noise,0.99,33426,4.0,Health & Fitness
35,iHeartRadio – Free Music & Radio Stations,0.0,293228,4.0,Entertainment
36,Line Rider iRide™,1.99,21609,3.5,Entertainment
37,Deliveries: a package tracker,4.99,4684,4.0,Utilities
38,Hurricane Pro,2.99,2104,4.5,Weather
39,Fieldrunners,2.99,41633,4.0,Games
40,Juxtaposer,2.99,3610,4.5,Photo & Video
41,Deezer - Listen to your Favorite Music & Playlists,0.0,4677,3.0,Entertainment
42,iStellar,3.99,30,3.5,Navigation
43,Sonos Controller,0.0,48905,4.5,Entertainment
44,Avertinoo,4.99,32,3.0,Navigation
45,Google Earth,0.0,446185,3.5,Travel
46,iFart - The Original Fart Sounds App,1.99,21825,3.0,Entertainment
47,PAC-MAN,0.0,508808,3.0,Games
48,FOX Sports Mobile,0.0,57500,3.0,Sports
49,First Words Animals,1.99,2576,4.0,Games
50,WeatherPro,1.99,1572,4.0,Weather
